1girl,1人の女の子
2girls,2人の女の子
3girls,3人の女の子
4girls,4人の女の子
multiple_girls,複数の女の子
1boy,1人の男の子
2boys,2人の男の子
multiple_boys,複数の男の子
solo,ソロ
solo_focus,ソロフォーカス
breasts,胸
large_breasts,巨乳
medium_breasts,並乳
small_breasts,貧乳
flat_chest,ぺたんこ
huge_breasts,爆乳
cleavage,谷間
looking_at_viewer,カメラ目線
looking_away,よそ見
looking_back,振り返る
looking_up,見上げる
looking_down,見下ろす
smile,笑顔
blush,頬染め
open_mouth,開いた口
closed_mouth,閉じた口
parted_lips,半開き
teeth,歯
fang,八重歯
tongue,舌
long_hair,ロングヘア
short_hair,ショートヘア
medium_hair,ミディアムヘア
very_long_hair,超ロングヘア
twintails,ツインテール
ponytail,ポニーテール
braid,三つ編み
twin_braids,おさげ
ahoge,アホ毛
blonde_hair,金髪
brown_hair,茶髪
black_hair,黒髪
blue_hair,青髪
pink_hair,ピンク髪
white_hair,白髪
silver_hair,銀髪
red_hair,赤髪
purple_hair,紫髪
green_hair,緑髪
blue_eyes,青眼
red_eyes,赤眼
green_eyes,緑眼
yellow_eyes,黄眼
purple_eyes,紫眼
brown_eyes,茶眼
black_eyes,黒眼
shirt,シャツ
t-shirt,Tシャツ
skirt,スカート
pleated_skirt,プリーツスカート
dress,ドレス/ワンピース
school_uniform,制服
serafuku,セーラー服
blazer,ブレザー
swimsuit,水着
bikini,ビキニ
school_swimsuit,スク水
underwear,下着
panties,パンツ
bra,ブラジャー
jacket,ジャケット
coat,コート
sweater,セーター
hoodie,パーカー
maid,メイド
thighhighs,サイハイソックス
pantyhose,パンティストッキング
kneehighs,ニーソックス
socks,靴下
barefoot,裸足
shoes,靴
boots,ブーツ
gloves,手袋
glasses,眼鏡
sunglasses,サングラス
hat,帽子
hair_bow,髪のリボン
hair_ribbon,髪リボン
hair_ornament,髪飾り
jewelry,宝石/アクセサリー
necklace,ネックレス
earrings,イヤリング/ピアス
animal_ears,獣耳
cat_ears,猫耳
dog_ears,犬耳
fox_ears,狐耳
rabbit_ears,うさ耳
tail,尻尾
wings,翼
halo,ヘイロー/天使の輪
horns,角
simple_background,シンプルな背景
white_background,白背景
black_background,黒背景
transparent_background,透過背景
outdoors,屋外
indoors,屋内
sky,空
cloud,雲
day,昼
night,夜
water,水
ocean,海
tree,木
flower,花
sitting,座る
standing,立つ
lying,寝そべる
on_back,仰向け
on_stomach,うつ伏せ
squatting,しゃがむ
kneeling,膝立ち
holding,持つ
hands_up,両手を上げる
arms_behind_back,後ろ手
crossed_arms,腕組み
spread_legs,開脚
from_behind,後ろから
from_below,ローアングル
from_above,ハイアングル
cowboy_shot,カウボーイショット
full_body,全身
upper_body,上半身
profile,横顔
highres,高解像度
absurdres,超高解像度
monochrome,モノクロ
greyscale,グレースケール
sketch,スケッチ
comic,漫画
4koma,4コマ
nsfw,R-18
nude,ヌード
nipples,乳首
pussy,女性器
penis,男性器
sex,セックス
